//Map_Name,File_Name,Memo_Field,Save_Field,Teleport_Field,PvP_Field,Branch_Field
lou_dun02,100423.vhm,memo,save,teleport,nopvp,branch
lou_dun03,100424.vhm,memo,save,teleport,nopvp,branch
alb2trea,100001.vhm,nomemo,nosave,noteleport,nopvp,branch
amoc_fild01,100397.vhm,memo,save,teleport,nopvp,branch
aprt_fild05,100398.vhm,memo,save,teleport,nopvp,branch
xalberta,100399.vhm,memo,save,teleport,nopvp,branch
amoc_fild02,100400.vhm,memo,save,teleport,nopvp,branch
moc_vilg00,100401.vhm,memo,save,teleport,nopvp,branch
xaldebaran,100402.vhm,memo,save,teleport,nopvp,branch
amoc_fild03,100403.vhm,memo,save,teleport,nopvp,branch
moc_vilg01,100404.vhm,memo,save,teleport,nopvp,branch
xgeffen,100405.vhm,memo,save,teleport,nopvp,branch
amoc_fild04,100406.vhm,memo,save,teleport,nopvp,branch
moc_vilg02,100407.vhm,memo,save,teleport,nopvp,branch
xizlude,100408.vhm,memo,save,teleport,nopvp,branch
aprt_fild00,100409.vhm,memo,save,teleport,nopvp,branch
prt_vilg00,100410.vhm,memo,save,teleport,nopvp,branch
xprontera,100411.vhm,memo,save,teleport,nopvp,branch
aprt_fild01,100412.vhm,memo,save,teleport,nopvp,branch
prt_vilg01,100413.vhm,memo,save,teleport,nopvp,branch
aprt_fild04,100414.vhm,memo,save,teleport,nopvp,branch
prt_vilg02,100415.vhm,memo,save,teleport,nopvp,branch
mvpmap02,100416.vhm,nomemo,nosave,noteleport,nopvp,branch
n_castle,100429.vhm,nomemo,nosave,noteleport,gvg,branch
siege_test,100433.vhm,nomemo,nosave,noteleport,nopvp,branch
knight_1-1,100435.vhm,nomemo,nosave,noteleport,nopvp,nobranch
knight_2-1,100436.vhm,nomemo,nosave,noteleport,nopvp,nobranch
knight_3-1,100437.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new,100438.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_1-1,100439.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_1-2,100440.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_1-3,100441.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_1-4,100442.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_2-1,100443.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_2-2,100444.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_2-3,100445.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_2-4,100446.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_3-1,100447.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_3-2,100448.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_3-3,100449.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_3-4,100450.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_4-1,100451.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_4-2,100452.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_4-3,100453.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_4-4,100454.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_5-1,100455.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_5-2,100456.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_5-3,100457.vhm,nomemo,nosave,noteleport,nopvp,nobranch
new_5-4,100458.vhm,nomemo,nosave,noteleport,nopvp,nobranch
priest_1-1,100459.vhm,nomemo,nosave,noteleport,nopvp,nobranch
priest_2-1,100460.vhm,nomemo,nosave,noteleport,nopvp,nobranch
priest_3-1,100461.vhm,nomemo,nosave,noteleport,nopvp,nobranch
sword_1-1,100462.vhm,nomemo,nosave,noteleport,nopvp,nobranch
sword_2-1,100463.vhm,nomemo,nosave,noteleport,nopvp,nobranch
sword_3-1,100464.vhm,nomemo,nosave,noteleport,nopvp,nobranch
thief_1-1,100465.vhm,nomemo,nosave,noteleport,nopvp,nobranch
thief_2-1,100466.vhm,nomemo,nosave,noteleport,nopvp,nobranch
thief_3-1,100467.vhm,nomemo,nosave,noteleport,nopvp,nobranch
wizard_1-1,100468.vhm,nomemo,nosave,noteleport,nopvp,nobranch
wizard_2-1,100469.vhm,nomemo,nosave,noteleport,nopvp,nobranch
wizard_3-1,100470.vhm,nomemo,nosave,noteleport,nopvp,nobranch
jawaii,100471.vhm,nomemo,save,teleport,nopvp,branch
jawaii_in,100472.vhm,nomemo,save,noteleport,nopvp,nobranch
rwc01,100473.vhm,nomemo,nosave,noteleport,pvp,nobranch
rwc02,100474.vhm,nomemo,nosave,noteleport,pvp,nobranch
rwc03,100475.vhm,nomemo,nosave,noteleport,pvp,nobranch
gefenia01,100476.vhm,nomemo,save,teleport,nopvp,branch
gefenia02,100477.vhm,nomemo,save,teleport,nopvp,branch
gefenia03,100478.vhm,nomemo,save,teleport,nopvp,branch
gefenia04,100479.vhm,nomemo,save,teleport,nopvp,branch
payon_in03,100480.vhm,nomemo,save,noteleport,nopvp,nobranch
payo2,100481.vhm,memo,save,teleport,nopvp,branch
payo2_in01,100482.vhm,nomemo,save,noteleport,nopvp,nobranch
que_god01,100483.vhm,nomemo,save,noteleport,nopvp,nobranch
que_god02,100484.vhm,nomemo,save,noteleport,nopvp,nobranch
ayo_dun01,100485.vhm,nomemo,save,teleport,nopvp,branch
ayo_dun02,100486.vhm,nomemo,save,teleport,nopvp,branch
ayo_fild01,100487.vhm,memo,save,teleport,nopvp,branch
ayo_fild02,100488.vhm,memo,save,teleport,nopvp,branch
ayo_in01,100489.vhm,nomemo,save,noteleport,nopvp,nobranch
ayo_in02,100490.vhm,nomemo,save,noteleport,nopvp,nobranch
ayothaya,100491.vhm,memo,save,teleport,nopvp,nobranch
yuno_fild05,100492.vhm,memo,save,teleport,nopvp,branch
yuno_fild07,100493.vhm,memo,save,teleport,nopvp,branch
yuno_fild08,100494.vhm,memo,save,teleport,nopvp,branch
yuno_fild09,100495.vhm,memo,save,teleport,nopvp,branch
yuno_fild11,100496.vhm,memo,save,teleport,nopvp,branch
yuno_fild12,100497.vhm,memo,save,teleport,nopvp,branch
turbo_e_4,100498.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_room,100499.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_e_8,100500.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_e_16,100501.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_n_1,100502.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_n_4,100503.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_n_8,100504.vhm,nomemo,nosave,noteleport,nopvp,nobranch
turbo_n_16,100505.vhm,nomemo,nosave,noteleport,nopvp,nobranch
airplane,100506.vhm,nomemo,save,noteleport,nopvp,nobranch
airport,100507.vhm,nomemo,save,noteleport,nopvp,nobranch
ein_dun01,100508.vhm,nomemo,save,teleport,nopvp,branch
ein_dun02,100509.vhm,nomemo,save,teleport,nopvp,branch
ein_fild06,100510.vhm,memo,save,teleport,nopvp,branch
ein_fild07,100511.vhm,memo,save,teleport,nopvp,branch
ein_fild08,100512.vhm,memo,save,teleport,nopvp,branch
ein_fild09,100513.vhm,memo,save,teleport,nopvp,branch
ein_fild10,100514.vhm,memo,save,teleport,nopvp,branch
ein_in01,100515.vhm,nomemo,save,noteleport,nopvp,nobranch
einbech,100516.vhm,memo,save,teleport,nopvp,branch
einbroch,100517.vhm,memo,save,teleport,nopvp,branch
que_sign01,100518.vhm,nomemo,save,noteleport,nopvp,nobranch
que_sign02,100519.vhm,nomemo,save,noteleport,nopvp,nobranch
alde_tt02,100520.vhm,nomemo,nosave,noteleport,nopvp,nobranch
force_4-1,100521.vhm,nomemo,nosave,noteleport,nopvp,branch
force_5-1,100522.vhm,nomemo,nosave,noteleport,nopvp,branch
guild_room,100523.vhm,nomemo,nosave,noteleport,nopvp,branch
himinn,100524.vhm,nomemo,nosave,noteleport,nopvp,branch
hunter_1-1,100525.vhm,nomemo,nosave,noteleport,nopvp,branch
hunter_2-1,100526.vhm,nomemo,nosave,noteleport,nopvp,branch
hunter_3-1,100527.vhm,nomemo,nosave,noteleport,nopvp,branch
nguild_alde,100528.vhm,nomemo,nosave,noteleport,nopvp,branch
nguild_gef,100529.vhm,nomemo,nosave,noteleport,nopvp,branch
nguild_pay,100530.vhm,nomemo,nosave,noteleport,nopvp,branch
nguild_prt,100531.vhm,nomemo,nosave,noteleport,nopvp,branch
quiz_test,100532.vhm,nomemo,nosave,noteleport,nopvp,branch
quiz_test,100532.vhm,nomemo,nosave,noteleport,nopvp,branch
ein_fild03,100533.vhm,memo,save,teleport,nopvp,branch
ein_fild04,100534.vhm,memo,save,teleport,nopvp,branch
lhz_fild02,100535.vhm,memo,save,teleport,nopvp,branch
lhz_fild03,100536.vhm,memo,save,teleport,nopvp,branch
