ID,Name,"Display name",LV,HP,SP,exp,jexp,aRan,atk1,atk2(atk1+atk2),def,mdef,str,agi,vit,int,dex,luk,Range2(as),Range3(es),scale,race,Element(property),mode,Mspeed,aDelay(rechargeTime),aMotion(attackMT),dMotion(attackedMT)
1193,ALARM,Alarm,58,10647,0,3987,2300,1,480,600,15,15,1,62,72,10,85,10,10,12,1,0,60,53,300,1020,500,768
1194,ARCLOUSE,Arclouse,59,6075,0,860,1000,1,570,640,10,15,1,75,5,5,75,5,10,12,1,4,42,21,100,960,500,480
1195,RIDEWORD,Rideword,59,11638,0,2007,3106,1,584,804,5,35,1,75,10,20,120,20,10,12,0,0,60,53,150,864,500,192
1196,SKEL_PRISONER,"Skeleton Prisoner",52,8691,0,2466,1562,1,660,890,10,20,1,20,36,1,76,1,10,12,1,1,69,13,350,1848,500,576
1197,ZOMBIE_PRISONER,"Zombie Prisoner",53,11280,0,2635,1724,1,780,930,10,20,1,24,39,1,72,1,10,12,1,1,69,13,350,1768,500,192
1198,DARK_PRIEST,"Dark Priest",59,9660,0,3320,2974,1,298,370,30,60,1,54,38,95,82,95,10,12,1,7,87,53,200,1500,500,1000
1199,PUNK,Punk,43,3620,0,1699,1033,1,292,365,0,45,1,105,5,45,65,45,10,12,0,3,24,21,300,1500,500,1000
1200,ZEALOTUS,Zealotus,63,18300,0,3608,2304,1,700,850,10,15,1,85,40,30,125,30,10,12,1,7,60,13,200,800,792,384
1201,RYBIO,Rybio,71,9572,0,6317,3520,1,686,912,45,37,1,97,75,74,77,74,10,12,2,6,40,13,200,1500,500,1000
1202,PHENDARK,Phendark,73,22729,0,6826,3443,1,794,1056,52,36,1,62,120,65,77,65,10,12,2,7,40,13,200,1500,500,1000
1203,MYSTELTAINN,Mysteltainn,76,33350,0,6457,5159,2,1160,1440,30,30,1,139,80,35,159,35,10,12,2,0,87,53,250,1152,500,240
1204,TIRFING,Tirfing,71,29900,0,5412,4235,1,950,1146,30,35,1,87,55,35,132,35,10,12,1,0,67,53,100,816,500,240
1205,EXECUTIONER,Executioner,65,28980,0,4730,3536,2,570,950,35,35,1,85,40,25,88,25,10,12,2,0,47,53,200,768,500,384
1206,ANOLIAN,Anolian,63,18960,0,4378,2907,1,640,760,15,15,1,43,58,25,97,25,10,12,1,5,41,53,200,900,500,864
1207,STING,Sting,61,9500,0,4081,2970,1,850,1032,5,30,1,45,55,5,120,5,10,12,1,0,62,53,300,528,500,240
1208,WANDERER,Wanderer,74,8170,0,5786,4730,2,450,550,5,5,1,192,38,45,127,45,10,12,1,6,24,53,100,672,500,192
1209,CRAMP,Cramp,56,4720,0,2300,1513,1,395,465,0,5,1,85,35,5,65,5,10,12,0,2,45,5,100,1000,500,1000
1210,FILAMENTOUS,Filamentous,51,6088,0,1926,1353,1,425,525,35,10,1,35,30,5,83,5,10,12,1,4,23,21,200,1500,500,1000
1211,BRILIGHT,Brilight,46,5562,0,1826,1331,1,298,383,30,5,1,90,15,10,50,10,10,12,0,4,23,21,200,1500,500,1000
1212,IRON_FIST,"Iron Fist",47,4221,0,1435,1520,1,430,590,40,5,1,25,15,10,81,10,10,12,1,4,60,21,200,1500,500,1000
1213,HIGH_ORC,"High Orc",52,6890,0,3618,1639,1,428,533,15,5,1,46,55,35,82,35,10,12,2,7,43,53,150,1500,500,1000
1214,CHOCO,Choco,43,4278,0,1265,1265,1,315,402,5,5,1,68,55,45,65,45,10,12,0,2,23,53,200,1500,500,1000
1215,STEM_WORM,"Stem Worm",40,6136,0,1452,939,2,290,375,5,10,1,30,26,15,79,15,10,12,1,3,24,21,200,1500,500,1000
1216,PENOMENA,Penomena,57,7256,0,2870,2200,7,415,565,5,50,1,5,35,15,136,15,10,12,1,5,25,53,400,832,500,600
1219,KNIGHT_OF_ABYSS,"Abyssmal Knight",79,36140,0,8469,6268,1,1600,2150,55,50,1,68,64,25,135,25,10,12,2,7,87,53,300,1500,500,1000
1220,M_DESERT_WOLF,"Desert Wolf",27,1716,0,388,242,1,169,208,0,10,1,27,45,15,56,10,10,12,1,2,23,53,200,1120,420,288
1221,M_SAVAGE,Savage,26,2092,0,357,226,1,146,177,10,5,1,26,54,10,37,10,10,12,2,2,42,53,150,1960,960,384
1222,L_HIGH_ORC,"High Orc",52,6890,0,2128,1490,1,428,533,15,5,1,46,55,35,82,40,10,12,2,7,43,53,200,1500,500,1000
1223,L_ORC,Orc,24,1400,0,261,160,1,114,136,10,5,1,24,48,25,34,10,10,12,1,7,22,53,200,1864,864,288
1224,L_POISON_SPORE,"Poison Spore",19,665,0,169,85,1,89,101,0,0,1,19,25,0,24,0,10,12,1,3,25,53,200,1672,672,288
1225,L_CHOCO,Choco,43,4278,0,1150,1150,1,315,402,5,5,1,68,55,45,65,25,10,12,0,2,23,53,200,1500,500,1000
1226,L_KOBOLD,Kobold,36,3893,0,898,568,1,265,318,15,10,1,90,36,30,52,30,10,12,1,7,44,53,200,1028,528,360
1227,L_GOBLIN,Goblin,25,1176,0,282,171,1,118,140,10,5,1,63,25,20,38,45,10,12,1,7,24,53,100,1120,620,240
1228,L_PHEN,Phen,26,3347,0,357,226,1,138,150,0,15,1,26,26,0,88,75,10,12,1,5,41,53,150,2544,1344,1152
1229,META_FABRE,"Meta Fabre",2,63,0,3,2,1,8,11,0,0,1,2,4,0,7,5,10,12,0,4,22,1,400,1672,672,480
1230,META_PUPA,"Meta Pupa",2,427,0,2,4,0,1,2,20,20,1,1,1,0,1,20,10,12,0,4,22,0,1000,1001,1,1
1231,META_CREAMY,"Meta Creamy",16,595,0,96,64,1,53,64,0,30,1,40,16,15,16,55,10,12,0,4,24,1,200,1220,720,288
1232,META_PECOPECO_EGG,"Meta Pecopeco Egg",3,420,0,4,4,0,1,2,20,20,1,1,1,0,1,20,10,12,0,0,60,0,1000,1001,1,1
1233,CONCEIVE_PECOPECO,"Conceive Pecopeco",13,531,0,85,36,1,35,46,0,0,1,13,13,25,27,9,10,12,2,2,23,17,200,1564,864,576
1234,PROVOKE_YOYO,"Provoke Yoyo",19,879,0,135,85,1,71,82,0,0,1,24,30,35,32,55,10,12,0,2,22,11,200,1054,54,384
1235,SMOKING_ORC,"Smoking Orc",24,1400,0,261,160,1,114,136,10,20,1,24,48,20,34,0,10,12,1,7,22,13,200,1864,864,288
1236,META_ANT_EGG,"Meta Ant Egg",4,420,0,5,4,0,1,2,20,20,1,1,1,0,1,20,10,12,0,0,60,0,1000,1001,1,1
1237,META_ANDRE,"Meta Andre",17,688,0,109,71,1,60,71,10,0,1,17,24,20,26,20,10,12,0,4,22,11,300,1288,288,576
1238,META_PIERE,"Meta Piere",18,733,0,122,78,1,64,75,15,0,1,18,26,20,27,15,10,12,0,4,22,11,200,1288,288,576
1239,META_DENIRO,"Meta Deniro",19,760,0,135,85,1,68,79,15,0,1,19,30,20,43,10,10,12,0,4,22,11,150,1288,288,576
1240,META_PICKY,"Meta Picky",3,80,0,4,3,1,9,12,0,0,1,3,3,0,10,30,10,12,0,2,23,1,200,988,288,168
1241,META_PICKY_,"Meta Super Picky",4,83,0,5,4,1,8,11,20,0,1,3,3,0,11,20,10,12,0,2,23,1,200,988,288,168
1242,MARIN,Marin,15,742,0,66,44,1,39,43,0,10,1,10,10,5,35,5,10,12,1,3,41,1,400,1872,672,480
1243,SASQUATCH,Sasquatch,30,3163,0,529,319,1,250,280,5,0,1,25,60,10,34,10,10,12,2,2,60,53,300,1260,192,192
1244,JAKK_XMAS,"Jakk Xmas",38,3581,0,1113,688,1,315,382,5,30,1,38,38,43,75,43,10,12,1,0,43,53,200,1180,480,648
1245,GOBLINE_XMAS,"Goblin Xmas",25,1176,0,282,171,1,118,140,10,5,1,53,25,20,38,20,10,12,1,7,24,53,100,1120,620,240
1246,COOKIE_XMAS,"Cookie Xmas",28,2090,0,461,284,1,140,170,0,50,1,24,30,53,45,53,10,12,0,7,46,9,400,1248,1248,240
1247,ANTONIO,Antonio,10,10,0,3,2,1,13,20,100,0,1,1,1,50,100,50,10,12,1,3,66,1,100,720,720,432
1248,CRUISER,Cruiser,35,2820,0,1100,450,7,175,215,5,5,1,40,10,10,90,10,10,12,1,0,60,53,400,1296,1296,432
1249,MYSTCASE,Mystcase,38,3450,0,1113,688,1,160,360,5,10,1,50,25,5,48,5,10,12,1,0,60,17,400,1248,1248,432
1250,CHEPET,Chepet,42,4950,0,1518,946,1,380,440,0,25,1,72,35,71,65,71,10,12,1,7,23,53,400,672,672,288
1251,STORMY_KNIGHT,"Stormy Knight",77,240000,0,64350,21450,2,1425,1585,35,60,1,185,83,55,130,55,10,12,2,0,84,53,200,468,468,288
1252,GARM,Garm,73,197000,0,50050,20020,3,1700,1900,40,45,1,126,82,65,95,65,10,12,2,2,81,53,400,608,408,336
1253,GARGOYLE,Gargoyle,48,3950,0,1650,1650,9,290,360,10,10,1,61,20,20,126,20,10,12,1,6,64,5,200,1020,720,384
1254,RAGGLER,Raggler,21,1020,0,218,140,1,102,113,0,5,1,10,32,20,39,20,10,12,0,2,24,53,200,1000,900,384
1255,NERAID,Neraid,40,4120,0,1126,684,1,325,360,0,10,1,45,50,5,64,5,10,12,0,2,22,53,200,776,576,288
1256,PEST,Pest,40,3240,0,1238,752,1,375,450,0,5,1,60,22,5,80,5,10,12,0,2,47,53,200,700,648,480
1257,INJUSTICE,Injustice,51,7600,0,2118,1488,1,480,600,0,0,1,42,39,1,71,1,10,12,1,1,47,53,400,770,720,336
1258,GOBLIN_ARCHER,"Goblin Archer",28,1750,0,461,284,9,89,113,0,0,1,15,20,15,72,15,10,12,0,7,25,5,200,1172,672,420
1259,GRYPHON,Gryphon,72,27800,0,5896,4400,1,880,1260,35,35,1,95,78,65,115,65,10,12,2,2,84,53,100,704,504,432
1260,DARK_FRAME,"Dark Frame",59,7500,0,3652,3271,1,960,1210,10,45,1,72,42,45,85,45,10,12,1,6,67,5,200,920,720,200
1261,WILD_ROSE,"Wild Rose",38,2980,0,1113,688,1,315,360,0,15,1,85,15,35,65,35,10,12,0,2,24,3,100,964,864,288
1262,MUTANT_DRAGON,"Mutant Dragon",65,62600,0,4730,3536,4,2400,3400,15,20,1,47,30,68,45,68,10,12,2,9,43,53,250,1280,1080,240
1263,WIND_GHOST,"Wind Ghost",51,4820,0,2118,1488,2,489,639,0,45,1,89,15,90,85,90,10,12,1,6,64,53,150,1056,1056,336
1264,MERMAN,Merman,53,12300,0,3345,2054,2,482,603,10,35,1,45,46,15,85,15,10,12,1,7,41,53,200,916,816,336
1265,COOKIE,Cookie,25,950,0,310,188,1,130,153,0,25,1,35,20,53,37,53,10,12,0,7,60,9,200,1036,936,240
1266,ASTER,Aster,18,1452,0,122,78,1,56,64,0,10,1,19,15,1,34,1,10,12,0,5,22,17,400,1264,864,216
1267,CARAT,Carat,51,5200,0,1926,1353,1,330,417,0,25,1,41,45,5,85,5,10,12,1,6,44,21,200,1078,768,384
1268,BLOODY_KNIGHT,"Bloody Knight",82,57870,0,10120,6820,3,2150,3030,60,50,1,75,70,77,125,77,10,12,2,0,87,21,250,828,528,192
1269,CLOCK,Clock,60,11050,0,3410,2904,1,720,909,15,10,1,70,50,25,90,25,10,12,1,0,42,17,200,1092,792,480
1270,C_TOWER_MANAGER,"Clock Tower Manager",63,18600,0,4378,2850,3,880,1180,35,30,1,75,20,64,75,64,10,12,2,0,80,21,200,1072,672,384
1271,ALLIGATOR,Alligator,42,6962,0,1379,866,1,315,360,2,5,1,45,50,10,82,10,10,12,1,2,21,17,200,1100,900,480
1272,DARK_LORD,"Dark Lord",80,360000,0,65780,45045,2,2800,3320,30,70,1,120,64,118,99,118,10,12,2,6,89,53,100,868,768,480
1273,ORC_LADY,"Orc Lady",31,2000,0,644,407,1,135,170,10,10,1,42,25,15,69,15,10,12,1,7,42,53,200,1050,900,288
1274,MEGALITH,Megalith,45,5300,0,1758,1075,9,264,314,50,25,1,45,60,5,95,5,10,12,2,0,80,37,200,1332,1332,672
1275,ALICE,Alice,62,10000,0,3583,2400,1,550,700,5,5,1,64,42,85,100,85,10,12,1,7,60,17,200,1152,1152,480
1276,RAYDRIC_ARCHER,"Raydric Archer",52,5250,0,3025,2125,9,415,500,35,5,1,25,22,5,145,5,10,12,1,6,47,5,200,1152,1152,480
1277,GREATEST_GENERAL,"Greatest General",40,3632,0,1238,752,3,350,400,15,15,1,20,60,55,82,55,10,12,1,0,43,4,200,1152,1152,384
1278,STALACTIC_GOLEM,"Stalactic Golem",60,18700,0,3872,2695,1,950,1130,50,5,1,45,85,5,75,5,10,12,2,0,80,17,200,1264,864,288
1279,TRI_JOINT,"Tri Joint",32,2300,0,386,220,1,178,206,20,5,1,48,24,10,67,10,10,12,0,4,22,53,200,860,660,624
1280,GOBLIN_STEAMRIDER,"Goblin Steamrider",35,2490,0,864,495,1,234,269,20,5,1,59,32,15,75,15,10,12,1,7,44,17,200,1008,1008,528
1281,SAGE_WORM,"Sage Worm",43,3850,0,1155,1320,1,120,280,0,50,1,52,24,88,79,88,10,12,0,2,60,21,200,936,936,288
1282,KOBOLD_ARCHER,"Kobold Archer",33,2560,0,739,455,9,155,185,10,5,1,20,15,30,100,30,10,12,0,7,23,5,200,1008,1008,384
1283,CHIMERA,Chimera,70,32600,0,4950,3000,1,1200,1320,30,10,1,72,110,88,75,88,10,12,2,2,63,53,200,772,672,360
1284,HUGELING,Hugeling,1,5000,0,2,1,4,7,10,0,0,1,1,1,1,6,0,10,12,2,3,21,17,200,1872,672,480
1285,ARCHER_GUARDIAN,"Archer Guardian",74,28634,0,1,1,12,1120,1600,35,60,1,80,80,90,165,90,14,16,2,7,80,5,265,1200,1200,384
1286,KNIGHT_GUARDIAN,"Knight Guardian",86,30214,0,1,1,2,1280,1560,55,30,1,40,140,65,125,65,14,16,2,7,80,5,275,1200,1200,384
1287,SOLDIER_GUARDIAN,"Soldier Guardian",56,15670,0,1,1,1,873,1036,35,0,1,56,100,45,103,45,10,12,0,4,22,5,265,1288,288,384
1288,EMPERIUM,Emperium,90,68430,0,109,71,1,60,71,40,50,1,17,80,50,26,50,10,12,0,4,22,0,300,1288,288,384
1289,MAYA_PURPLE,"Maya Puple",81,54331,0,10496,3893,2,1446,1999,68,48,1,90,80,95,90,95,10,12,2,4,82,53,100,1024,1000,480
1290,SKELETON_GENERAL,"Skelelton General",73,17043,0,8170,3370,1,910,1089,25,25,1,25,40,20,77,20,10,12,1,1,29,53,150,2276,576,432
1291,WRAITH_DEAD,"Wraith Dead",74,42131,0,10341,3618,2,1366,1626,25,30,1,99,55,95,115,95,10,12,2,1,89,53,175,1816,576,240
1292,MINI_DEMON,"Mini Demon",68,31865,0,8396,3722,1,1073,1415,30,25,1,75,40,55,89,55,10,12,0,6,27,53,150,1000,600,384
1293,CREAMY_FEAR,"Creamy Fear",62,13109,0,7365,2691,2,667,830,45,30,1,40,16,15,68,15,10,12,0,4,24,53,155,1136,720,840
1294,KILLER_MANTIS,"Killer Mantis",56,12911,0,6509,2366,1,764,927,35,20,1,26,24,5,75,5,10,12,1,4,22,53,175,1528,660,432
1295,OWL_BARON,"Owl Baron",75,59489,0,10967,4811,2,1252,1609,65,25,1,25,80,95,95,95,10,12,2,6,60,53,175,1345,824,440
1296,KOBOLD_LEADER,"Kobold Leader",65,17935,0,7432,2713,1,649,957,37,37,1,90,36,30,77,30,10,12,1,7,44,53,150,1028,528,360
1297,ANCIENT_MUMMY,"Ancient Mummy",64,40599,0,8040,3499,1,836,1129,27,27,1,19,32,5,83,5,10,12,1,1,49,53,175,1772,120,384
1298,ZOMBIE_MASTER,"Zombie Master",62,13917,0,7610,2826,1,824,1084,37,26,1,20,30,5,77,5,10,12,1,1,29,53,175,2612,912,288
1299,GOBLIN_LEADER,"Goblin Leader",64,19735,0,6036,2184,1,663,753,48,16,1,55,37,30,69,30,10,12,1,8,24,53,120,1120,620,240
1300,CATERPILLAR,Caterpillar,64,14140,0,6272,3107,1,895,1448,47,29,1,25,85,15,69,15,10,12,0,4,22,53,300,1672,672,480
1301,AM_MUT,"Am Mut",61,11848,0,7709,2690,1,1041,1123,50,10,1,65,40,35,83,35,10,12,0,6,27,53,200,1156,456,384
1302,DARK_ILLUSION,"Dark Illusion",77,101487,0,11163,4181,2,1300,1982,64,70,1,100,40,100,97,100,10,12,2,6,89,53,145,1024,768,480
1303,GIANT_HORNET,"Giant Hornet",56,12834,0,5785,2006,1,650,851,38,43,1,38,32,10,71,10,10,12,0,4,24,53,155,1292,792,340
1304,GIANT_SPIDER,"Giant Spider",55,11628,0,6211,2146,1,625,802,41,28,1,36,43,5,73,5,10,12,2,4,25,53,165,1468,468,768
1305,ANCIENT_WORM,"Ancient Worm",67,22598,0,8174,3782,1,947,1115,35,30,1,35,56,55,81,55,10,12,2,4,25,53,165,1792,792,336
1306,LEIB_OLMAI,"Leib Olmai",58,24223,0,6011,2171,1,740,1390,27,31,1,35,95,5,64,5,10,12,2,2,22,53,175,1260,230,192
1307,CAT_O_NINE_TAILS,"Cat o' Nine Tail",76,64512,0,10869,4283,1,1112,1275,61,55,1,75,55,82,86,82,10,12,1,6,63,53,155,1276,576,288
1308,PANZER_GOBLIN,"Panzer Goblin",59,13838,0,7212,2697,1,682,877,41,28,1,60,40,20,81,20,10,12,1,7,44,53,200,960,1008,840
1309,GAJOMART,Gajomart,63,13699,0,6625,2900,1,916,948,85,50,1,34,10,5,75,5,10,12,0,0,83,53,300,1000,1152,828
1310,MAJORUROS,Majoruros,66,57991,0,8525,3799,1,781,1301,10,25,1,50,75,50,85,50,10,12,2,2,43,53,250,1100,960,780
1311,GULLINBURSTI,Gullinbursti,62,21331,0,5814,2376,1,699,1431,10,15,1,25,60,5,70,5,10,12,2,2,42,53,150,1960,960,384
1312,TURTLE_GENERAL,"Turtle General",97,320700,0,18202,9800,2,2438,3479,50,54,1,45,55,65,105,65,10,12,2,2,42,53,200,900,1000,500
1313,MOBSTER,Mobster,61,11347,0,4424,1688,1,910,1128,41,37,1,46,20,35,76,35,10,12,1,7,20,53,250,1100,560,580
1314,PERMETER,Permeter,63,8228,0,3756,1955,2,943,1212,46,45,1,59,60,5,69,5,10,12,1,2,40,17,250,1100,483,528
1315,ASSAULTER,Assaulter,71,15861,0,4854,2654,2,764,1499,35,28,1,74,10,35,100,35,10,12,1,7,44,53,155,1000,900,432
1316,SOLIDER,Solider,70,12099,0,4458,1951,2,796,978,57,43,1,35,85,5,74,5,10,12,1,2,42,17,250,1452,483,528
1317,SEAL,Seal,63,9114,0,3765,1824,1,845,1202,25,33,1,28,22,15,69,15,10,12,1,2,21,5,250,1612,622,583
1318,HEATER,Heater,68,11020,0,3766,2359,2,682,1007,40,42,1,47,25,5,71,5,10,12,1,2,43,53,250,1452,483,528
1319,FREEZER,Freezer,72,8636,0,3665,2197,2,672,984,55,43,1,41,59,5,67,5,10,12,1,2,41,53,250,1452,483,528
1320,OWL_DUKE,"Owl Duke",75,26623,0,7217,3474,1,715,910,27,49,1,45,40,75,79,75,10,12,2,6,60,53,195,1345,824,440
1321,DRAGON_TAIL,"Dragon Tail",61,8368,0,3587,1453,1,520,715,25,19,0,68,15,5,67,5,10,12,1,4,44,53,175,862,534,312
1322,SPRING_RABBIT,"Spring Rabbit",58,9045,0,3982,1766,1,585,813,29,21,1,61,5,15,77,15,10,12,1,2,42,3,160,1120,552,511
1323,SEA_OTTER,"Sea Otter",59,9999,0,3048,1642,1,650,813,33,35,1,36,40,25,82,25,10,12,1,2,61,3,190,1132,583,532
1324,TREASURE_BOX1,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1325,TREASURE_BOX2,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1326,TREASURE_BOX3,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1327,TREASURE_BOX4,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1328,TREASURE_BOX5,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1329,TREASURE_BOX6,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1330,TREASURE_BOX7,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1331,TREASURE_BOX8,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1332,TREASURE_BOX9,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1333,TREASURE_BOX10,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1334,TREASURE_BOX11,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1335,TREASURE_BOX12,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1336,TREASURE_BOX13,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1337,TREASURE_BOX14,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1338,TREASURE_BOX15,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1339,TREASURE_BOX16,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1340,TREASURE_BOX17,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1341,TREASURE_BOX18,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1342,TREASURE_BOX19,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1343,TREASURE_BOX20,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1344,TREASURE_BOX21,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1345,TREASURE_BOX22,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1346,TREASURE_BOX23,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1347,TREASURE_BOX24,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1348,TREASURE_BOX25,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1349,TREASURE_BOX26,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1350,TREASURE_BOX27,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1351,TREASURE_BOX28,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1352,TREASURE_BOX29,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1353,TREASURE_BOX30,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1354,TREASURE_BOX31,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1355,TREASURE_BOX32,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1356,TREASURE_BOX33,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1357,TREASURE_BOX34,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1358,TREASURE_BOX35,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1359,TREASURE_BOX36,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1360,TREASURE_BOX37,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1361,TREASURE_BOX38,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1362,TREASURE_BOX39,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1363,TREASURE_BOX40,"Treasure Box",99,1,1,1,1,1,1,1,1,99,1,1,1,1,999,1,1,1,1,1,1,0,2000,1,1,1
1364,G_ASSAULTER,Assaulter,59,18251,0,1,1,2,195,227,35,36,85,55,10,35,145,100,10,12,1,6,44,21,155,1000,900,432
1365,APOCALIPS,Apolcalips,66,22680,0,6540,4935,2,1030,1370,62,49,1,48,120,108,66,108,10,12,2,0,60,5,200,1564,864,576
1366,LAVA_GOLEM,"Lava Golem",77,24324,0,6470,3879,1,1541,2049,65,50,1,57,115,70,76,70,10,12,2,0,83,5,200,1564,864,576
1367,BLAZZER,Blazzer,43,8252,0,3173,1871,2,533,709,50,40,1,52,50,39,69,39,10,12,0,6,43,5,200,1564,864,576
1368,GEOGRAPHER,Geographer,56,8071,0,2715,2000,3,467,621,28,26,1,67,47,60,68,60,10,12,0,3,62,4,200,1564,864,576
1369,GRAND_PECO,"Grand Peco",58,8054,0,2387,1361,2,444,565,37,30,1,67,66,50,71,50,10,12,2,2,43,9,200,1564,864,576
1370,SUCCUBUS,Succubus,85,16955,0,5357,4322,2,1268,1686,54,48,1,97,95,150,89,150,10,12,1,6,67,5,200,1564,864,576
1371,FAKE_ANGEL,"Fake Angel",65,16845,0,3371,1949,2,513,682,50,35,1,64,57,70,61,70,10,12,0,8,66,5,200,1564,864,576
1372,GOAT,Goat,69,11077,0,3357,2015,1,457,608,44,25,1,58,66,62,67,62,10,12,2,2,63,17,200,1564,864,576
1373,LORD_OF_DEATH,"Lord of Death",94,303383,0,131343,43345,3,2430,4104,77,73,1,99,120,169,100,169,10,12,2,6,67,5,200,1564,864,576
1374,INCUBUS,Incubus,75,17281,0,5254,4212,2,1408,1873,58,46,1,97,95,150,89,150,10,12,1,6,67,5,200,1564,864,576
1375,THE_PAPER,"The Paper",56,18557,0,2849,1998,1,845,1124,25,24,1,66,52,76,71,76,10,12,1,0,60,5,200,1564,864,576
1376,HARPY,Harpy,70,16599,0,3562,2133,1,956,1231,42,44,1,112,72,103,74,103,10,12,1,6,64,5,200,1564,864,576
1377,ELDER,Elder,64,21592,0,4650,3408,3,421,560,45,68,1,76,68,108,72,108,10,12,2,7,80,5,200,1564,864,576
1378,DEMON_PUNGUS,"Demon Pungus",56,7259,0,3148,1817,1,360,479,48,31,1,83,55,59,63,59,10,12,0,6,65,5,200,1564,864,576
